"AGE","RACE_WHITE","RACE_BLACK","RACE_HISP","NTV_ENG","NTV_SP","WELFKID_1","WELFKID_2","WELFKID_3","WELFKID_4","MARRIED_1","HASCHLD","HGC","HS_D","GED_D","VOC_D","OTH_DEG","ANY_ED1","YR_WORK1","CURRJOB","GOT_ANYW","PERS_INC","EVARRST1","GUILTY2","EVJAIL2","WELF_KID","cate","Y","treat","train"
20.4493150684931,1,0,0,1,0,0,0,0,1,1,0,9,0,0,0,0,0,1,0,0,1,0,0,0,4,14.4557714916551,576.405059020052,1,1
21.9397260273973,0,0,1,0,1,1,0,0,0,1,0,11,0,0,0,0,1,1,0,0,1,1,1,0,1,-2.85525435992879,264.280339732266,0,1
19.3616438356164,0,1,0,1,0,0,0,0,1,1,0,10,0,0,0,0,1,1,0,1,2,1,0,0,4,-5.44541669081899,662.684840084177,0,1
18.2904109589041,0,1,0,1,0,0,0,1,0,1,0,10,0,0,0,0,1,0,0,0,1,0,0,0,3,5.33087431787415,0,1,0
18.2904109589041,0,1,0,1,0,1,0,0,0,1,0,8,0,0,0,0,1,0,0,0,1,0,0,0,1,3.49931116710983,105.847359428801,0,1
19.6575342465753,0,0,1,0,1,0,0,0,1,1,0,10,0,0,0,0,1,1,0,1,2,0,0,0,4,6.1693639204168,119.40116850804,1,0
17.1780821917808,1,0,0,1,0,1,0,0,0,1,0,10,0,0,0,0,1,1,1,0,1,0,0,0,1,41.7940892042954,275.753708145951,1,1
16.7068493150685,1,0,0,1,0,1,0,0,0,1,0,8,0,0,0,0,1,1,0,1,1,1,0,0,1,25.2825365568097,45.1617907397644,1,1
16.0904109589041,0,0,1,0,1,1,0,0,0,1,0,9,0,0,0,0,1,0,0,1,1,0,0,0,1,0.237314723487616,150.804753488003,1,1
20.7671232876712,0,0,1,0,1,1,0,0,0,0,1,10,0,0,0,0,0,0,0,1,1,0,0,0,1,-1.12186243126518,0,1,1
16.4547945205479,0,0,1,0,1,1,0,0,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0.421426719433513,358.46984504684,0,0
16.4767123287671,1,0,0,1,0,1,0,0,0,1,0,9,0,0,0,0,1,1,1,0,1,0,0,0,1,39.6844120144462,576.405059020052,1,1
19.8027397260274,1,0,0,1,0,1,0,0,0,1,0,12,1,0,0,0,0,1,1,1,1,1,0,0,1,5.42685811076422,105.471032182102,1,0
16.6438356164384,1,0,0,1,0,0,0,0,1,1,0,9,0,0,0,0,1,0,0,1,1,0,0,0,4,12.6370465168173,125.58606134924,0,1
22.5890410958904,0,0,1,0,0,1,0,0,0,0,1,12,0,1,0,0,0,0,0,1,2,0,0,0,1,19.8571497624421,50.3521206731579,1,1
17.8630136986301,0,1,0,1,0,0,0,1,0,1,0,9,0,0,0,0,1,1,0,0,1,0,0,0,3,24.9726709940324,277.583677547177,1,0
20.5041095890411,1,0,0,1,0,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,1,0,0,0,1,33.1973076018756,161.901742613907,0,1
16.8246575342466,0,0,0,1,0,0,1,0,0,1,0,8,0,0,0,0,1,0,0,0,1,1,0,0,2,10.1167558739352,110.145263972533,0,1
17.4657534246575,0,0,1,0,1,0,0,1,0,1,0,8,0,0,0,0,1,0,0,1,1,0,0,0,3,22.3031126318188,71.607298203141,1,0
20.3041095890411,0,0,1,0,1,0,0,0,1,1,0,9,0,0,0,0,0,1,1,1,4,1,0,0,4,-14.0736406160964,264.280339732266,0,1
17.7369863013699,0,0,1,0,1,0,0,0,1,1,0,11,0,0,0,0,1,1,0,1,1,0,0,0,4,26.1917488625714,276.790042308522,0,1
18.6684931506849,0,1,0,1,0,0,0,0,1,1,0,10,0,0,0,0,1,1,1,1,1,0,0,0,4,7.61671929395779,311.157268090613,1,1
16.1123287671233,0,0,1,0,1,1,0,0,0,0,1,8,0,0,0,0,1,1,0,1,1,0,0,0,1,3.52711941013291,121.116007268214,0,1
19.9342465753425,0,1,0,1,0,1,0,0,0,1,1,11,0,0,0,0,1,1,0,0,1,0,0,0,1,-0.114512294614743,297.388695638862,1,0
20.1369863013699,0,1,0,1,0,0,1,0,0,1,0,11,0,0,0,0,1,1,0,1,1,0,0,0,2,6.01644574630955,197.794842366597,1,1
22.2794520547945,0,1,0,1,0,1,0,0,0,0,0,12,1,0,0,0,0,1,0,1,3,0,0,0,1,24.7471641223555,261.640579546651,1,1
17.0082191780822,1,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,1,0,0,0,1,1,1,1,1,6.40079729017197,125.398994647048,1,1
22.427397260274,0,1,0,0,0,1,0,0,0,1,1,14,1,0,1,0,0,1,1,0,2,0,0,0,1,2.91056034015565,219.029872130263,1,1
19.7424657534247,1,0,0,1,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,1,1,0,0,0,4,10.8946142394922,185.026023945437,0,1
20.7506849315069,0,1,0,1,0,0,0,0,1,0,1,7,0,0,0,0,0,1,1,1,1,1,0,0,4,20.165488086934,0,1,1
16.9616438356164,1,0,0,1,0,0,0,0,1,1,0,9,0,0,0,0,0,1,0,1,1,0,0,0,4,27.3465789779634,280.109097302733,1,1
16.8575342465753,0,1,0,1,0,0,0,0,1,1,0,9,0,0,0,0,1,0,0,0,1,1,0,0,4,18.6274550945479,315.406109602529,0,1
18.6630136986301,0,0,1,1,0,1,0,0,0,1,0,12,1,0,0,0,1,1,1,1,3,0,0,0,1,10.5739344559767,257.779254613125,1,1
20.9534246575342,0,1,0,1,0,0,0,0,1,1,0,12,1,0,0,0,1,1,1,1,1,0,0,0,4,22.3876940815872,212.272280844751,0,0
